index,product,file,url
39,"Mother Dairy Ghee","mother-dairy-ghee-1-l.webp","https://i.pinimg.com/736x/6d/12/a8/6d12a89c7dc2e68c32980a470ff98f26.jpg"
40,"MDH Deggi Mirch","mdh-deggi-mirch-100-g.webp","https://i.pinimg.com/736x/56/86/db/5686db13575f0fe3ff15d9ae0d22b68c.jpg"
41,"Everest Turmeric Powder","everest-turmeric-powder-100-g.webp","https://i.pinimg.com/736x/9b/3f/53/9b3f533620aabc668b845f92aa53a488.jpg"
42,"Tata Sampann Coriander Powder","tata-sampann-coriander-powder-100-g.webp","https://i.pinimg.com/736x/9a/c7/5b/9ac75bc67ca5209e2fac73541ee99fb7.jpg"
43,"Catch Cumin Seeds","catch-cumin-seeds-100-g.webp","https://i.pinimg.com/736x/97/83/9f/97839fc9f27299d14b9d88db26da60f4.jpg"
44,"MDH Garam Masala","mdh-garam-masala-100-g.webp","https://i.pinimg.com/1200x/fa/64/65/fa64651c4003966cc81912ee4fd5f351.jpg"
45,"Lay's Classic Salted Chips","lay-s-classic-salted-chips-52-g.webp","https://i.pinimg.com/736x/90/67/7e/90677e8ce77ffe5d8f000f7ee98a66b2.jpg"
46,"Lay's Magic Masala Chips","lay-s-magic-masala-chips-52-g.webp","https://i.pinimg.com/736x/08/56/b1/0856b13e8aef9a0fbb05e48a7f098e3e.jpg"
47,"Kurkure Masala Munch","kurkure-masala-munch-82-g.webp","https://i.pinimg.com/1200x/c7/27/46/c72746a7857d0579b70d6c39f54fc0eb.jpg"
48,"Haldiram Aloo Bhujia","haldiram-aloo-bhujia-200-g.webp","https://i.pinimg.com/1200x/fa/6b/8c/fa6b8cc1a8ee1e8081427bca254de236.jpg"
49,"Bikaji Bikaneri Bhujia","bikaji-bikaneri-bhujia-200-g.webp","https://i.pinimg.com/1200x/0b/53/25/0b5325ee5bf1bdb41d82d9db14606c27.jpg"
50,"Act II Butter Popcorn","act-ii-butter-popcorn-59-g.webp","https://i.pinimg.com/736x/d7/67/43/d76743df75938be34f613b523f1972e9.jpg"
51,"Too Yumm Foxnuts Pudina","too-yumm-foxnuts-pudina-65-g.webp","https://i.pinimg.com/1200x/c6/e7/fb/c6e7fb2aec7667bc0fc7fb5c6953896c.jpg"
52,"Balaji Wafers Simply Salted","balaji-wafers-simply-salted-135-g.webp","https://i.pinimg.com/736x/06/90/18/0690184a3ac92e200c2086f7d728ce75.jpg"
53,"Uncle Chipps Spicy Treat","uncle-chipps-spicy-treat-50-g.webp","https://i.pinimg.com/736x/65/65/5b/65655be2f365192e5e683435d71921a3.jpg"
54,"Haldiram Moong Dal","haldiram-moong-dal-200-g.webp","https://i.pinimg.com/736x/1d/be/69/1dbe69d0e3b190e9b76c576a681c5c66.jpg"
55,"Parle-G Original Biscuits","parle-g-original-biscuits-250-g.webp","https://i.pinimg.com/1200x/18/37/67/18376733f92e894521678dd193f7d880.jpg"
56,"Britannia Good Day Cashew","britannia-good-day-cashew-200-g.webp","https://i.pinimg.com/1200x/1a/51/0f/1a510ff65585fddc43b1dd631dc6d46c.jpg"
57,"Sunfeast Dark Fantasy Choco Fills","sunfeast-dark-fantasy-choco-fills-300-g.webp","https://i.pinimg.com/736x/c1/f3/74/c1f374227e22f691cf858895212c9fb1.jpg"
58,"Cadbury Dairy Milk","cadbury-dairy-milk-36-g.webp","https://i.pinimg.com/1200x/bb/98/1f/bb981ff381d5cf57bcbe5cb0d39fef00.jpg"
59,"Nestle KitKat","nestle-kitkat-37-g.webp","https://i.pinimg.com/1200x/da/19/4d/da194d2f564a59aa0a33000f10c0e1ec.jpg"
60,"Tata Tea Premium","tata-tea-premium-250-g.webp","https://i.pinimg.com/736x/04/05/e9/0405e900cf4c2e2d6be358cd0fe20a37.jpg"
61,"Red Label Tea","red-label-tea-250-g.webp","https://i.pinimg.com/736x/1e/a4/79/1ea479e868bd1ae54c90f6f091cfc316.jpg"
62,"Nescafe Classic Coffee","nescafe-classic-coffee-50-g.webp","https://i.pinimg.com/1200x/08/dd/dd/08dddd8d44c11eb161f11f1160220275.jpg"
63,"Bru Instant Coffee","bru-instant-coffee-50-g.webp","https://i.pinimg.com/1200x/39/cf/5b/39cf5bf4a0f324cdd469305cb315e6b6.jpg"
64,"Coca-Cola Soft Drink","coca-cola-soft-drink-750-ml.webp","https://i.pinimg.com/736x/83/f2/52/83f252130bf8547fe5cc22e8da7d7405.jpg"
65,"Pepsi Soft Drink","pepsi-soft-drink-750-ml.webp","https://i.pinimg.com/1200x/75/13/34/751334341339dfd84d3dc9b6b984d467.jpg"
66,"Sprite Lemon Drink","sprite-lemon-drink-750-ml.webp","https://i.pinimg.com/736x/4e/26/07/4e2607922e084fbfd29f52febb25c659.jpg"
67,"Real Fruit Power Mixed Fruit","real-fruit-power-mixed-fruit-1-l.webp","https://i.pinimg.com/736x/e3/c5/1f/e3c51f9364b89e2965bcfcec3f92ba27.jpg"
68,"Tropicana Orange Delight","tropicana-orange-delight-1-l.webp","https://i.pinimg.com/736x/5c/52/c1/5c52c162c579996565581440501eb8f9.jpg"
69,"Bisleri Mineral Water","bisleri-mineral-water-1-l.webp","https://i.pinimg.com/736x/8c/42/5d/8c425d1ecac985ac85a139a4516f5cbe.jpg"
70,"Red Bull Energy Drink","red-bull-energy-drink-250-ml.webp","https://i.pinimg.com/1200x/5d/fa/ac/5dfaac7299e05d6e07ba416c11d691c6.jpg"
71,"Paper Boat Aamras","paper-boat-aamras-200-ml.webp","https://i.pinimg.com/1200x/ab/b1/0f/abb10f14869b3ef8c6a5c7071c747742.jpg"
72,"Maggi 2-Minute Noodles","maggi-2-minute-noodles-70-g.webp","https://i.pinimg.com/736x/72/0e/bc/720ebc26532f0645d7b461c0e70dc4ba.jpg"
73,"Sunfeast Yippee Noodles","sunfeast-yippee-noodles-70-g.webp","https://i.pinimg.com/1200x/ef/75/7a/ef757a0d9322a1259bf17838bfe84126.jpg"
74,"Weikfield Penne Pasta","weikfield-penne-pasta-400-g.webp","https://i.pinimg.com/736x/f5/4b/fa/f54bfa6042a3a58411e74635dd9999bc.jpg"
75,"Knorr Sweet Corn Soup","knorr-sweet-corn-soup-44-g.webp","https://i.pinimg.com/736x/fe/79/a7/fe79a77d57b98386b8c05706eec0bd84.jpg"
76,"McCain French Fries","mccain-french-fries-420-g.webp","https://i.pinimg.com/1200x/a6/9c/df/a69cdf9732cb9f305b524695be3c3784.jpg"
77,"McCain Aloo Tikki","mccain-aloo-tikki-400-g.webp","https://i.pinimg.com/1200x/9b/5a/a6/9b5aa6fb922c598440bd89c48f1b1558.jpg"
78,"Safal Frozen Green Peas","safal-frozen-green-peas-500-g.webp","https://i.pinimg.com/1200x/3b/48/99/3b48999da83f01a2bef1627ffd67c60a.jpg"
79,"Kellogg's Corn Flakes","kellogg-s-corn-flakes-475-g.webp","https://i.pinimg.com/1200x/c1/f0/78/c1f078c242320919699c7f0f3ad35730.jpg"
80,"Quaker Oats","quaker-oats-1-kg.webp","https://i.pinimg.com/736x/3d/cf/40/3dcf40d9b7e5a47d6e2f9a6f0608b327.jpg"
81,"Kissan Mixed Fruit Jam","kissan-mixed-fruit-jam-500-g.webp","https://i.pinimg.com/1200x/64/55/71/6455716a355c6fcb8b097acc6f3a3a3f.jpg"
82,"Nutella Hazelnut Spread","nutella-hazelnut-spread-350-g.webp","https://i.pinimg.com/736x/17/9c/16/179c169fc30e77ea94cfc8bf5112db2a.jpg"
83,"Surf Excel Easy Wash","surf-excel-easy-wash-1-kg.webp","https://i.pinimg.com/736x/f0/40/55/f04055db99bce3c9e7b0bb3ba8c0feb2.jpg"
84,"Ariel Matic Top Load","ariel-matic-top-load-1-kg.webp","https://i.pinimg.com/736x/8c/9d/19/8c9d19d9728d98b0258cc9746d298616.jpg"
85,"Tide Plus Double Power","tide-plus-double-power-1-kg.webp","https://i.pinimg.com/736x/a1/6b/6d/a16b6d629746d70e1a99ee64ee89c100.jpg"
86,"Comfort Fabric Conditioner","comfort-fabric-conditioner-860-ml.webp","https://i.pinimg.com/1200x/8d/af/5f/8daf5f07a9d07aa9a5e75b9acdc329b6.jpg"
87,"Vim Dishwash Bar","vim-dishwash-bar-300-g.webp","https://i.pinimg.com/736x/39/90/7a/39907ab51da752ac69d36764f2607dce.jpg"
88,"Vim Dishwash Liquid","vim-dishwash-liquid-750-ml.webp","https://i.pinimg.com/736x/ab/6f/09/ab6f09ddd0ac9d8a75ac6e71f5e2ff38.jpg"
89,"Lizol Citrus Floor Cleaner","lizol-citrus-floor-cleaner-1-l.webp","https://i.pinimg.com/1200x/5e/3c/c7/5e3cc7b808b9a9359bd40e0dede34110.jpg"
90,"Harpic Power Plus Toilet Cleaner","harpic-power-plus-toilet-cleaner-1-l.webp","https://i.pinimg.com/736x/fd/d3/5f/fdd35ff82c96bbcf8561e32abeac45a1.jpg"
91,"Dettol Antiseptic Liquid","dettol-antiseptic-liquid-550-ml.webp","https://i.pinimg.com/736x/4b/bb/8a/4bbb8aaff1c86ef2f0138761451e205f.jpg"
92,"Colgate Strong Teeth Toothpaste","colgate-strong-teeth-toothpaste-200-g.webp","https://i.pinimg.com/736x/11/aa/82/11aa82ba079e973dbd84528b2390e2b6.jpg"
93,"Dove Cream Beauty Bathing Bar","dove-cream-beauty-bathing-bar-125-g.webp","https://i.pinimg.com/1200x/bf/8b/52/bf8b52fc0343401cd5cf0688e2877473.jpg"
94,"Pears Pure & Gentle Soap","pears-pure-gentle-soap-125-g.webp","https://i.pinimg.com/736x/f8/5c/8f/f85c8fe0e44bf7baa5c4e8d2cdb41f42.jpg"
95,"Clinic Plus Strong & Long Shampoo","clinic-plus-strong-long-shampoo-340-ml.webp","https://i.pinimg.com/1200x/05/dd/63/05dd632b3508f282dcd417d0bc0dadce.jpg"
96,"Head & Shoulders Anti Dandruff Shampoo","head-shoulders-anti-dandruff-shampoo-340-ml.webp","https://i.pinimg.com/736x/57/fd/36/57fd361c4fda54f8852f921c13750cc6.jpg"
97,"Nivea Soft Light Moisturiser","nivea-soft-light-moisturiser-200-ml.webp","https://i.pinimg.com/1200x/af/24/83/af24837939573148d8fd2fc6df310531.jpg"
98,"Dabur Red Toothpaste","dabur-red-toothpaste-200-g.webp","https://i.pinimg.com/736x/57/1d/1d/571d1de99590bc88348f4dc61eb6e31f.jpg"
99,"Pampers Active Baby Diapers","pampers-active-baby-diapers-medium-20-pcs.webp","https://i.pinimg.com/736x/20/0b/0e/200b0e2335535184296ce33c95cba567.jpg"
100,"Cerelac Wheat Cereal","cerelac-wheat-cereal-300-g.webp","https://i.pinimg.com/736x/15/6a/13/156a1339a158de38b4f780eb94064cbc.jpg"
